id,title,artist,genre
1,跟悲伤结了帐,Gareth.T/揽佬SKAI ISYOURGOD,中文说唱
2,BLACKBIRRRD,GALI,中文说唱
3,唤水剑,SASIOVERLXRD,中文说唱
4,天生痛苦,SASIOVERLXRD,中文说唱
5,懂不？,艾志恒Asen,中文说唱
6,生活麻辣烫,王齐铭WatchMe,中文说唱
7,Hotel Lobby,马思唯/艾志恒Asen,中文说唱
8,回声,杭异凡/王栎鑫/法老,中文说唱
9,短裙 (MiniSkirt),OuttaWave/DOMMIU李由音,中文说唱
10,LV,APMOZART/SASIOVERLXRD,中文说唱
11,英雄,艾志恒Asen,中文说唱
12,杏冷淡freestyle,柴行敏,中文说唱
13,不得了Freestyle,王齐铭WatchMe,中文说唱
14,街头流行,艾洛樱Aluvin/Top Barry,中文说唱
15,五小区,王齐铭WatchMe,中文说唱
16,在雨后醒来,艾志恒Asen,中文说唱
17,万花筒写轮眼,BOBBYNOPEACE,中文说唱
18,不后悔,宝石Gem/张碧晨,中文说唱
19,赢家圈子,APMOZART/马思唯,中文说唱
20,解放路八巷,酷P,中文说唱
21,One night in 解放碑,王齐铭WatchMe,中文说唱
22,Dear Mama,艾志恒Asen,中文说唱
23,花伞,亞細亞曠世奇才/诺米么Lodmemo,中文说唱
24,永玄定鼎,MULA SAKEE,中文说唱
25,登录,马思唯,中文说唱
26,瞳孔,三火flame,中文说唱
27,Like ovo,APMOZART/GALI,中文说唱
28,紫气东来,揽小,中文说唱
29,你给的恨,艾志恒Asen/Maikon Flocka Flame,中文说唱
30,睡不着,艾志恒Asen,中文说唱
31,五百,宝石Gem,中文说唱
32,老生常谈Freestyle,王齐铭WatchMe,中文说唱
33,哥这儿才叫日子 (feat. Capper),Cool-Aid陈轶伦/Capper,中文说唱
34,危险温度,程思源/BlackTheDevil,中文说唱
35,不听嘻哈才是一件很嘻哈的事,福来/MC HotDog 热狗,中文说唱
36,Pretty,王鹤棣,中文说唱
37,多事之秋,王齐铭WatchMe,中文说唱
38,那就赚,EvilJoker/一乐AJoyX/BIG.Z黄增凯,中文说唱
39,17. Anybody Know? (Bonus Track),D Minor/2Night,中文说唱
40,耐寒体质,FEEEleven/杨和苏KeyNG,中文说唱
41,明天天明,海洋Bo,中文说唱
42,炸弹爱,africakid/ATM Hanson,中文说唱
43,才发现最喜欢是过万圣节,河南说唱之神,中文说唱
44,烂房间,赵太阳/PSY.P,中文说唱
45,有害健康 (feat. Capper),Cool-Aid陈轶伦/Capper,中文说唱
46,冷夜雨（RUN AWAY）,西奥Sio/KEY.L刘聪/梁笑生AIRBUS130,中文说唱
47,T0,马思唯,中文说唱
48,纠（feat.黄誉博）,AK刘彰/黄誉博,中文说唱
49,他们从未离去,Rapeter/热单间HEATROOM,中文说唱
50,局子街,零赫兹0HZ/金俊秀 June/BEEN元彬,中文说唱
51,卡农（经典钢琴版）,dylanf,古典
52,舒伯特摇篮曲,舒伯特摇篮曲,古典
53,Before You Left,Yehezkel Raz,古典
54,"Nocturne No. 2 in E Flat Major, Op. 9, No. 2",Arthur Rubinstein,古典
55,摇篮曲 舒伯特,古典留声机,古典
56,贝多芬 钢琴曲《致爱丽丝》,天之籁音乐,古典
57,"Nocturne No. 1 in B Flat Minor, Op. 9, No. 1",Arthur Rubinstein,古典
58,A小調圓舞曲〈遺作〉waltz In A Minor B.150 Op. Posth,Zelimir Panic,古典
59,"Cello Suite No. 1 in G Major, BWV 1007:I. Prélude",Janos Starker,古典
60,"Goldberg Variations, BWV 988:Aria",Glenn Gould,古典
61,肖邦: 夜曲,Noble Music Project,古典
62,勃拉姆斯摇篮曲,nengcd,古典
63,"Suite bergamasque, L.75 - 3. Clair de lune",Pascal Rogé,古典
64,巴赫G弦上的咏叹调,巴赫G弦上的咏叹调,古典
65,"贝多芬: 《月光奏鸣曲》第一乐章, 作品27-2",Noble Music Project,古典
66,Canon in D,Johann Pachelbel/Chris Snelling,古典
67,舒伯特小夜曲,舒伯特小夜曲,古典
68,莫扎特: 摇篮曲,Noble Music Project,古典
69,"Cello Suite No. 1 in G Major, BWV 1007:I. Prelude",Alexander Rudin,古典
70,"Waltz No.19 in A minor, Op.posth.",Claudio Arrau,古典
